State,1 (nearest),2,3,4,5,6 (farthest)
AL,Calhoun,MEM-R,SAV,HOU07,NJF02,CAP
AR,MEM-R,HOU07,Calhoun,SAV,NJF02,CAP
AZ,CAP,HOU07,MEM-R,Calhoun,SAV,NJF02
CO,CAP,HOU07,MEM-R,Calhoun,SAV,NJF02
CT,NJF02,SAV,Calhoun,MEM-R,HOU07,CAP
DC,NJF02,SAV,Calhoun,MEM-R,HOU07,CAP
DE,NJF02,SAV,Calhoun,MEM-R,HOU07,CAP
FL,SAV,Calhoun,MEM-R,HOU07,NJF02,CAP
GA,Calhoun,SAV,MEM-R,NJF02,HOU07,CAP
IA,MEM-R,Calhoun,HOU07,SAV,NJF02,CAP
ID,CAP,HOU07,MEM-R,Calhoun,SAV,NJF02
IL,MEM-R,Calhoun,NJF02,SAV,HOU07,CAP
IN,Calhoun,MEM-R,SAV,NJF02,HOU07,CAP
KS,MEM-R,HOU07,Calhoun,SAV,CAP,NJF02
KY,Calhoun,MEM-R,SAV,NJF02,HOU07,CAP
LA,HOU07,MEM-R,Calhoun,SAV,NJF02,CAP
MA,NJF02,SAV,Calhoun,MEM-R,HOU07,CAP
MD,NJF02,SAV,Calhoun,MEM-R,HOU07,CAP
ME,NJF02,SAV,Calhoun,MEM-R,HOU07,CAP
MI,NJF02,Calhoun,MEM-R,SAV,HOU07,CAP
MN,MEM-R,Calhoun,NJF02,HOU07,SAV,CAP
MO,MEM-R,Calhoun,HOU07,SAV,NJF02,CAP
MS,MEM-R,Calhoun,HOU07,SAV,NJF02,CAP
MT,CAP,MEM-R,HOU07,Calhoun,SAV,NJF02
NC,SAV,Calhoun,NJF02,MEM-R,HOU07,CAP
NCA,CAP,HOU07,MEM-R,Calhoun,SAV,NJF02
ND,MEM-R,Calhoun,HOU07,CAP,NJF02,SAV
NE,MEM-R,HOU07,Calhoun,SAV,NJF02,CAP
NH,NJF02,SAV,Calhoun,MEM-R,HOU07,CAP
NJ,NJF02,SAV,Calhoun,MEM-R,HOU07,CAP
NM,CAP,HOU07,MEM-R,Calhoun,SAV,NJF02
NV,CAP,HOU07,MEM-R,Calhoun,SAV,NJF02
NY,NJF02,SAV,Calhoun,MEM-R,HOU07,CAP
OH,Calhoun,NJF02,MEM-R,SAV,HOU07,CAP
OK,HOU07,MEM-R,Calhoun,SAV,CAP,NJF02
OR,CAP,HOU07,MEM-R,Calhoun,SAV,NJF02
PA,NJF02,Calhoun,SAV,MEM-R,HOU07,CAP
RI,NJF02,SAV,Calhoun,MEM-R,HOU07,CAP
SC,SAV,Calhoun,MEM-R,NJF02,HOU07,CAP
SCA,CAP,HOU07,MEM-R,Calhoun,SAV,NJF02
SD,MEM-R,Calhoun,HOU07,SAV,NJF02,CAP
TN,Calhoun,MEM-R,SAV,HOU07,NJF02,CAP
TX,HOU07,MEM-R,Calhoun,SAV,CAP,NJF02
UT,CAP,HOU07,MEM-R,Calhoun,SAV,NJF02
VA,NJF02,SAV,Calhoun,MEM-R,HOU07,CAP
VT,NJF02,Calhoun,SAV,MEM-R,HOU07,CAP
WA,CAP,HOU07,MEM-R,Calhoun,SAV,NJF02
WI,MEM-R,Calhoun,NJF02,SAV,HOU07,CAP
WV,NJF02,Calhoun,SAV,MEM-R,HOU07,CAP
WY,CAP,MEM-R,HOU07,Calhoun,SAV,NJF02
